qa_type,question,q_entity,answer,a_entity,intent
qa,작은 사이즈 테이크아웃 아메리카노 얼마에요?,"작은 사이즈,테이크아웃,아메리카노",아메리카노 작은 사이즈는 1800원입니다,"아메리카노, 작은 사이즈, 1800원",가격문의
qa,식혜는 얼마인데요?,식혜,식혜는 2500원입니다,"식혜, 2500원",가격문의
qa,유자 따뜻한 거는 4500원이에요?,"유자차,따뜻,4500원","네, 따뜻한 유자차는 4500원입니다","따뜻, 유자차, 4500원",가격문의
qa,아이스 아메리카노는 얼마에요?,"아이스,아메리카노",3800원입니다,3800원,가격문의
qa,한 병에 얼마에요?,한 병,5800원입니다,5800원,가격문의
qa,라테 하나 얼마에요?,"라떼,하나",따뜻한 라테는 이천오백 원이고 시원한 라테는 삼천 원이요,"따뜻한, 라떼, 이천 오백 원, 시원한, 삼천 원",가격문의
qa,펄 있는 블랙 밀크티로 하면 얼마에요?,"펄,블랙 밀크티",사천이백 원입니다,사천 이백 원,가격문의
qa,따뜻한 아메리카노 얼마에요?,"따뜻한,아메리카노",삼천 원입니다,삼천 원,가격문의
qa,그냥 라테는 얼마에요?,라떼,라테는 삼천  원입니다,"라떼, 삼천 원",가격문의
qa,머스킷은 얼마에요?,머스켓,"묶음으로 구천팔백 원, 낱개로 육백 원입니다","묶음, 구천 팔백 원, 낱개, 육백 원",가격문의
qa,아메리카노는 얼마씩 해요?,아메리카노,아메리카노는 천오백 원입니다,"아메리카노, 천 오백 원",가격문의
qa,자몽 티 따뜻한 거 얼마에요?,"자몽티,따뜻한",자몽 티는 삼천오백 원입니다,"자몽티, 삼천 오백 원",가격문의
qa,카페라테는 사천백 원인 가요?,"카페라떼,사천 백 원",카페라테는 삼천 원입니다,"카페라떼, 삼천 원",가격문의
qa,슈 케이크 얼마에요?,슈 케이크,슈 케이크는 이천 원입니다,"슈 케이크, 이천 원",가격문의
qa,마카롱 가격은 개당 가격인가요?,"마카롱,가격","네, 적혀있는 마카롱 가격은 개당 가격입니다","마카롱, 가격",가격문의
qa,텀블러 이거는 얼마예요?,텀블러,삼만 천 원입니다,삼만 천 원,가격문의
qa,마카롱이 한 개당 이천칠백 원인 거예요?,"마카롱,한 개,이천 칠백 원","네, 한 개당 이천칠백 원입니다","한 개, 이천 칠백 원",가격문의
qa,두 개에 오천팔백 원 아니면 한 개에 오천팔백 원이에요?,"두 개,오천 팔백 원,한 개",두 개에 오천팔백 원입니다,"두 개, 오천 팔백 원",가격문의
qa,마카롱 하나에 이천오백 원인 거예요?,"마카롱,하나,이천 오백 원","네, 이천오백 원입니다",이천 오백 원,가격문의
qa,코코아는 얼마에요?,코코아,사천 원입니다,사천원,가격문의
qa,아메리카노는 아이스랑 핫이랑 가격 차이 없어요?,"아메리카노,아이스,핫,가격",네 아메리카노는 가격 차이가 없습니다,"아메리카노, 가격",가격문의
qa,마카롱 한 개에 얼마예요?,"마카롱,한 개",마카롱 한 개는 1900원입니다,"마카롱, 한 개, 1900원",가격문의
qa,코지 코치는 900원이에요?,"코지코히,900원",네 코지 코치는 900원입니다,"코지코히, 900원",가격문의
qa,아메리카노 얼마예요?,아메리카노,3500원이요,3500원,가격문의
qa,마카롱은 3개에 6900원인가요?,"마카롱,3개,6900원",네 맞습니다,,가격문의
qa,밀크 캐러멜은 얼마예요?,밀크 카라멜,밀크 캐러멜은 1200원이에요,"밀크 카라멜, 1200원",가격문의
qa,더치커피 얼마인데요?,더치커피,4000원입니다,4000원,가격문의
qa,크림치즈 마카롱 한 개에 천 원인가요?,"크림치즈 마카롱,한 개,천 원",네 마카롱은 한 개당 천 원입니다,"마카롱, 한 개, 천 원",가격문의
qa,이거 햄 치즈는 얼마에요?,"햄치즈,얼마",오천 원입니다,오천 원,가격문의
qa,수삼 주스는 얼마에요?,"수삼주스,얼마",오천오백 원입니다,오천오백 원,가격문의
qa,테이크아웃은 더 싼가요?,테이크아웃,가지고 가시면 오백 원 할인돼요,"오백 원, 할인",가격문의
qa,예 테이크아웃 하면 더 저렴해요?,"테이크아웃,저렴",아니요 가격은 똑같습니다,가격,가격문의
qa,따뜻한 거는 더 싼 가봐요,"따뜻,싼",삼천오백 원입니다,삼천오백 원,가격문의
qa,가격은요?,가격,아메리카노는 삼천백 원 드립은 삼천팔백 원이에요,"아메리카노, 삼천백 원, 드립, 삼천팔백 원",가격문의
qa,저건 삼천오백 원 맞죠?,삼천오백 원,네 삼천오백 원입니다,삼천오백 원,가격문의
qa,이 빵은 얼마에요?,"빵,얼마",그건 이천오백 원입니다,이천오백 원,가격문의
qa,그 빵은 얼마에요?,"빵,얼마",오천구백 원입니다,오천구백 원,가격문의
qa,팥 도넛도 이천 원이에요?,"팥 도너츠,이천 원",예 이천 원입니다,이천 원,가격문의
qa,크로켓 얼마씩 해요?,"고로케,얼마",크로켓 한 개에 이천 원입니다,"고로케, 한 개, 이천 원",가격문의
qa,사장님 더치커피는 이 큰 병에 만 삼천 원이에요?,"사장님,더치커피,큰 병,만삼천 원",옆에 있는 더치커피가 만 삼천 원입니다,"옆, 더치커피, 만삼천 원",가격문의
qa,은색 텀블러 얼마에요?,"은색 텀블러,얼마",텀블러 뒤에 가격표 확인 가능합니다,"텀블러, 뒤, 가격표, 확인, 가능",가격문의
qa,오리지널이 천구백 원 맞죠?,"오리지널,천구백원",네 오리지널 번은 천구백 원입니다,"오리지널 번, 천구백원",가격문의
qa,테이크아웃은 더 싼가요?,테이크아웃,아니요 저희는 똑같아요,,가격문의
qa,커피 종류 테이크아웃하면 더 싸요?,"커피,종류,테이크아웃",네 천 원씩 더 저렴해요,"천 원, 저렴",가격문의
qa,곡물 라테 얼만데요?,"곡물라떼,얼마",곡물 라테는 기본 사이즈에 육천백 원이에요,"곡물라떼, 기본 사이즈, 육천백 원",가격문의
qa,돌체 라테 한 잔에 얼마에요?,"돌체 라테,한 잔",5900원입니다,5900원,가격문의
qa,초코케이크는요?,초코케이크,4500원입니다,4500원,가격문의
qa,아이스 아메리카노 2잔에 얼마인가요?,"아이스,아메리카노,2잔",8600원입니다,8600원,가격문의
qa,샷 추가하는데 추가 가격이 있나요?,"샷,추가,가격",300원 추가됩니다,"300원, 추가",가격문의
qa,아이스 카페라테 한 잔에 얼마인가요?,"아이스,카페라테,한 잔",4000원입니다,4000원,가격문의
qa,아이스는 더 비싼가요?,아이스,HOT보다 500원 비쌉니다,"HOT, 500원",가격문의
qa,아메리카노 얼마에요?,아메리카노,5000원이에요,5000원,가격문의
qa,티라미슈 한 조각엔 얼마예요?,"티라미슈,한 조각",5500원입니다,5500원,가격문의
qa,가격은 얼마인가요?,가격,오천육백원입니다,오천육백원,가격문의
qa,아이스 아메리카노 한잔 얼마예요?,"아이스,아메리카노,한잔",5000원입니다,5000원,가격문의
qa,얼마인가요?,,4300원입니다,4300원,가격문의
qa,사이즈업하면 얼마에요?,사이즈업,그란데 사이즈 6600원입니다,"그란데, 사이즈, 6600원",가격문의
qa,자바칩 프라푸치노 얼마에요?,자바칩 프라푸치노,6100원입니다,6100원,가격문의
qa,라지 사이즈는 얼마에요?,"라지,사이즈",5000원입니다,5000원,가격문의
qa,오미자 스파클링 음료는 얼마인가요?,오미자 스파클링 음료,5400원입니다,5400원,가격문의
qa,캐머마일 따뜻한 건 얼마인가요?,"캐머마일,따뜻한",3400원입니다,3400원,가격문의
qa,샷 추가는 얼마인가요?,"샷,추가",원래는 500원 추가인데 오늘은 무료로 추가해 드릴게요,"500원, 추가, 오늘, 무료, 추가",가격문의
qa,그러면 샷 추가 부탁드리고 앞에 진열된 쿠키는 얼마예요?,"샷,추가,앞,진열,쿠키",쿠키는 3000원입니다,"쿠키, 3000원",가격문의
qa,얼마 추가되죠?,추가,500원씩 추가돼요,"500원, 추가",가격문의
qa,아이스 바닐라 라테 얼마에요?,"아이스,바닐라 라테",5500원입니다,5500원,가격문의
qa,아메리카노 한 잔은 얼마인가요?,"아메리카노,한 잔",4000원입니다,4000원,가격문의
qa,녹차라테는 얼마인가요?,녹차라테,5000원입니다,5000원,가격문의
qa,아메리카노 한 잔에 얼마인가요?,"아메리카노,한 잔",3500원입니다,3500원,가격문의
qa,카페라테 얼마에요?,카페라테,4500원입니다,4500원,가격문의
qa,바닐라 라테 얼마예요?,바닐라 라테,3700원입니다,3700원,가격문의
qa,라지 사이즈는 추가 금액이 있나요?,"라지 사이즈,추가,금액",500원 추가하시면 됩니다,"500원, 추가",가격문의
qa,아메리카노 한 잔 얼마에요?,"아메리카노,한 잔",4000원입니다,4000원,가격문의
qa,샷 하나 추가에 얼마에요?,"샷,하나,추가",샷 추가 오백 원입니다,"샷, 추가, 오백 원",가격문의
qa,샷 추가하려면 얼마를 내야 하나요?,"샷,추가",샷 추가마다 500원 추가해야 합니다,"샷, 추가, 500원",가격문의
qa,캐러멜 프라푸치노 얼마예요?,캐러멜 프라푸치노,6300원입니다,6300원,가격문의
qa,휘핑크림은 추가 금액 붙나요?,"휘핑크림,추가,금액",휘핑크림은 추가 금액 500원 받고 있습니다,"휘핑크림, 추가, 금액, 500원",가격문의
qa,얼마인가요,,총 합해서 34500원입니다,34500원,가격문의
qa,머핀은 얼마인가요?,머핀,4000원입니다,4000원,가격문의
qa,아이스 카페모카 한 잔에 얼마예요?,"아이스,카페모카,한 잔",5100원입니다,5100원,가격문의
qa,블루베리 머핀은 얼마인가요?,블루베리 머핀,이천 원입니다,이천 원,가격문의
qa,아이스 아메리카노 한 잔에 얼마인가요?,"아이스,아메리카노,한 잔",삼천 원입니다,삼천 원,가격문의
qa,당근 케이크 얼마에요?,당근 케이크,4500원입니다,4500원,가격문의
qa,여기 밀크티는 얼마에요?,밀크티,5500원입니다,5500원,가격문의
qa,아메리카노 한잔 얼마인가요?,"아메리카노,한잔",4천 원입니다,4천 원,가격문의
qa,샷 추가도 추가 비용 발생하죠?,"샷,추가,비용",네 500원 추가 비용 있으십니다,"500원, 추가 비용",가격문의
qa,아이스 아메리카노 한 잔 얼만가요?,"아이스,아메리카노,한 잔",3000원입니다,3000원,가격문의
qa,샷 추가는 얼마인가요?,"샷,추가",샷 추가는 500원입니다,"샷, 추가, 500원",가격문의
qa,라테 한 잔 얼마에요?,"라테,한 잔",5000원입니다,5000원,가격문의
qa,얼마에요?,,4500원입니다,4500원,가격문의
qa,네 얼마인가요?,,다 합해서 3500원입니다,3500원,가격문의
qa,한 잔에 얼마인가요?,한 잔,이천오백 원입니다,이천오백 원,가격문의
qa,아이스 아메리카노와 따뜻한 아메리카노 가격 차이 있나요?,"아이스,아메리카노,따뜻한,아메리카노,가격",아니요 아메리카노는 아이스여도 추가 금액 받지 않습니다,"아메리카노, 아이스, 추가, 금액",가격문의
qa,가격은 얼마인가요?,가격,4800원입니다,4800원,가격문의
qa,추가요금 얼마나 내면 되나요?,"추가,요금",지금 기프티콘 가격이 5100원이니 해당 금액 제외하고 2500원 추가요금 결제하시면 됩니다,"기프티콘, 가격, 5100원, 2500원, 추가, 요금, 결제",가격문의
qa,사이즈업하면 얼마죠?,사이즈업,500원 추가되어 4500원입니다,"500원, 추가, 4500원",가격문의
qa,아이스도 똑같은가요?,아이스,네 똑같습니다,,가격문의
qa,아메리카노 한 잔에 얼마죠?,"아메리카노,한 잔",3000원입니다,3000원,가격문의
qa,아이스 아메리카노 3잔에 얼마에요?,"아이스,아메리카노,3잔",13500원입니다,13500원,가격문의
qa,생크림 케이크는 얼마인가요?,생크림 케이크,8천 원입니다,8천 원,가격문의
qa,아이스 아메리카노 레귤러 사이즈 얼마인가요?,"아이스,아메리카노,레귤러 사이즈",1800원입니다,1800원,가격문의
qa,샷 추가 시 얼마인가요?,"샷,추가",500원입니다,500원,가격문의
qa,라테는 얼마에요?,라테,5500원입니다,5500원,가격문의
qa,바닐라 라테는 얼마인가요?,바닐라 라테,4천 원입니다,4천 원,가격문의
qa,치즈케이크 하나 얼마에요?,"치즈케이크,하나",4500원이요,"치즈케이크, 하나, 4500원",가격문의
qa,자바칩 추가하면 얼마 더 내야 돼요?,"자바칩,추가",500원 추가로 내시면 됩니다,"500원, 추가",가격문의
qa,에스프레소는 얼마인가요?,에스프레소,3000원입니다,3000원,가격문의
qa,아이스 캐러멜 마키야또 한 잔 얼마인가요?,"아이스,캐러맬 마끼야또,한잔,얼마",5000원입니다,5000원,가격문의
qa,테이크아웃이랑 홀에서 먹는 거랑 가격이 다른가요?,"테이크아웃,홀,가격",홀에서 먹으면 1000원 추가됩니다,"홀, 1000원, 추가",가격문의
qa,아이스 아메리카노 얼마예요?,"아이스,아메리카노",2000원입니다,2000원,가격문의
qa,모카 프라프치노 한잔 얼마에요?,"모카프라프치노,한잔,얼마",6000원입니다,6000원,가격문의
qa,녹차라테 한 잔에 얼마인가요?,"녹차라테,한 잔,얼마",5000원이에요,5000원,가격문의
qa,총 금액 알려주세요,금액,스콘 두 개 아메리카노 샷 추가 텀블러 할인해서 9500입니다,"스콘, 두 개, 아메리카노, 샷, 추가, 텀블러 할인, 9500원",가격문의
qa,아이스 아메리카노 1잔이랑 아이스 카페라테 1잔 얼마인가요?,"아이스,아메리카노,1잔,카페라테",아이스 아메리카노 1잔은 4000원 아이스 카페라테 1잔은 5000원입니다,"아이스, 아메리카노, 1잔, 4000원, 카페라테, 5000원",가격문의
qa,추가요금은 얼마인가요?,"추가,요금,얼마",500원 결제해주시면 됩니다,"500원, 결제",가격문의
qa,카페라테 가격은 얼마인가요?,"카페라테,가격,얼마",5000원입니다,5000원,가격문의
qa,밀크티 한 잔 얼마에요?,"밀크티,한 잔",4500원입니다,4500원,가격문의
qa,아이스로 변경할 경우 추가요금이 있나요?,"아이스,변경,추가,요금",아이스 음료는 500원이 더 비쌉니다,"아이스, 음료, 500원",가격문의
qa,이것도 하나 주시는데 얼마에요?,"하나,얼마",2000원입니다,2000원,가격문의
qa,한 조각에 얼마죠,"한 조각,얼마",4000원입니다,4000원,가격문의
qa,핫초코 한 잔 아메리카노 사이즈업한 잔 하면 얼마인가요?,"핫초코,한 잔,아메리카노,사이즈업,얼마",10000원입니다,10000원,가격문의
qa,핫초코 한잔 아메리카노 한잔하면 얼마인가요?,"핫초코,한잔,아메리카노,얼마",9500원입니다,9500원,가격문의
qa,라테 한 잔에 얼마인가요?,"라테,한 잔,얼마",5000원입니다,5000원,가격문의
qa,머핀은 얼마에요?,머핀,베이글과 동일하게 2000원입니다,"베이글, 동일, 2000원",가격문의
qa,베이글은 얼마인가요?,베이글,베이글은 2000원입니다,"베이글, 2000원",가격문의
qa,아메리카노 티라미슈 세트 가격은 어떻게 되죠?,"아메리카노 티라미슈 세트,가격",아메리카노 티라미슈 세트 가격은 만 원입니다,"아메리카노 티라미슈 세트, 가격, 만원",가격문의
qa,따뜻한 아메리카노 한 잔은 얼마인가요?,"따뜻한,아메리카노,한 잔",4100원입니다,4100원,가격문의
qa,아이스 아메리카노 한잔 얼마인가요?,"아이스,아메리카노,한 잔",4500원입니다,4500원,가격문의
qa,자몽에이드 한 잔 얼마에요?,"자몽에이드,한 잔",6000원이에요,6000원,가격문의
qa,허니브레드는 얼마에요?,허니브레드,7천 원입니다,7천 원,가격문의
qa,음료랑 다 해서 얼마에요?,"음료,얼마","14,500원입니다.","14,500원",가격문의
qa,아메리카노 한 잔에 얼마죠?,"아메리카노,한 잔",2500원입니다.,2500원,가격문의
q,이 카드로 결제해주실래요?,,,,결제요청
q,결제 부탁드려요,,,,결제요청
q,결제해주시겠어요?,,,,결제요청
q,이걸로 결제해주세요,,,,결제요청
q,체크카드로 할게요,체크카드,,,결제요청
q,이 카드로 해주세요,카드,,,결제요청
q,네 결제해 주세요,결제,,,결제요청
q,신세계 상품권으로도 결제되나요?,"신세계,상품권,결제",,,결제요청
q,그냥 결제해주세요,결제,,,결제요청
q,카드 결제할게요,"카드,결제",,,결제요청
q,아니요 계산은 현금으로 할게요,"계산,현금",,,결제요청
q,네 계산해주세요,계산,,,결제요청
q,카드로 결제할게요,"카드,결제",,,결제요청
q,현금 계산이요,"현금,계산",,,결제요청
q,그럼 그냥 현금으로 할게요,현금,,,결제요청
q,카드로 해주세요,카드,,,결제요청
q,카드 계산할게요,"카드,계산",,,결제요청
q,여기 카드 드릴게요,카드,,,결제요청
q,카드 여기 있습니다,카드,,,결제요청
q,네 여기 카드 있습니다,카드,,,결제요청
q,네 카드 여기요,카드,,,결제요청
q,이 카드로 해주세요,카드,,,결제요청
q,현금으로 할게요,현금,,,결제요청
qa,카드로 할게요,카드,네 결제해드리겠습니다,결제,결제요청
qa,삼성페이가 안되면 다른 카드로 계산할게요,"삼성페이,카드,계산","네, 알겠습니다",,결제요청
qa,네 이 카드로 결제해주세요,"카드,결제",카드 받았고 여기 전화번호랑 성함 적어주세요,"카드, 전화번호, 성함",결제요청
qa,만 원 드릴게요,만 원,"네, 거스름돈 칠천 원 드리겠습니다","거스름돈, 칠천 원",결제요청
qa,원래대로 해주시고 카드로 할게요,카드,KT 있으면 할인됩니다,"KT, 할인",결제요청
qa,그냥 결제해주세요,결제,네 영수증 드리겠습니다,영수증,결제요청
qa,안 되면 카드 결제로 할게요,"카드,결제",아니에요 쿠폰 사용 가능하시네요,"쿠폰, 사용, 가능",결제요청
qa,현금으로 계산 가능한가요?,"현금,계산,가능",저희 매장에는 카드 결제만 가능합니다,"매장, 카드, 결제, 가능",결제요청
qa,케이크는 카드로 결제 부탁드릴게요,"케이크,카드,결제",카드 받았습니다,카드,결제요청
qa,만원 현금 되나요?,"만원,현금",네 만원 받았고 3천 원 거스름돈입니다,"만원, 3천 원, 거스름돈",결제요청
qa,카드 결제할게요,"카드,결제",네 카드 꽂아주세요,카드,결제요청
qa,현금되죠?,현금,그럼요,,결제요청
qa,여기 카드요,카드,카드 받았습니다,카드,결제요청
qa,카드 결제되나요?,"카드,결제",네 가능합니다,,결제요청
qa,카드 결제할게요,"카드,결제",네 결제 도와드리겠습니다,결제,결제요청
qa,그냥 결제해주세요,결제,4000원 결제해드리겠습니다,"4000원, 결제",결제요청
qa,카드로 계산할게요,"카드,계산",네 카드 받았습니다,"카드, 계산",결제요청
qa,카드로 결제할게요,"카드,결제",앞에 보이시는 카드 단말기에 카드 꽂아주시기 바랍니다,"앞, 카드 단말기",결제요청
qa,그럼 계산 부탁드리겠습니다,계산,네 5000원 계산 도와드리겠습니다,"5000원, 계산",결제요청
qa,카드 결제할게요,"카드,결제",네 앞에 카드 꽃 아주시면 됩니다,"앞에, 카드",결제요청
qa,카드로 결제할게요,"카드,결제",네 감사합니다,,결제요청
qa,네 결제는 카드로 할게요,"결제,카드",네 결제 완료되었습니다,결제,결제요청
qa,여기 카드로 결제해주세요,"카드,결제",네 알겠습니다,,결제요청
qa,카드로 할게요,카드,네 잠시만 기다려주세요,,결제요청
qa,이 카드로 결제해주세요,"카드,결제",네 결제 도와드릴게요,결제,결제요청
qa,카드 결제할게요,카드,네 카드 받았습니다,카드,결제요청
q,아메리카노에 찬물을 조금 넣어주세요,"아메리카노,찬,물",,,뜨거운차가운물요구
q,여기 물은 따로 없나요?,물,,,뜨거운차가운물요구
qa,따뜻한 물 한 잔 주시겠어요?,"따뜻,물,한 잔",저쪽에 따뜻한 물 있어요,"따뜻,물",뜨거운차가운물요구
qa,물은 어디에 있나요?,물,물 이쪽에 있어요,물,뜨거운차가운물요구
qa,뜨거운 물 한 잔 받을 수 있을까요?,"물,한 잔","뜨거운 물이요, 잠시만요",물,뜨거운차가운물요구
qa,따듯한 물 한잔 있어요?,"물,한잔",네 따듯한 물 한잔 드릴게요,"물, 한잔",뜨거운차가운물요구
qa,혹시 따뜻한 물 좀 얻을 수 있을까요?,"따뜻,물","네, 따뜻한 물 준비해드리겠습니다","따뜻, 물",뜨거운차가운물요구
qa,종이컵에 물 한 컵 얻어 가도 될까요?,"종이컵,물,한 컵",뒤쪽에 종이컵 있는데 주시면 담아드리겠습니다,"뒤쪽, 종이컵",뜨거운차가운물요구
qa,죄송한데 물 좀 한 잔 주시겠어요?,"물,한 잔",네 잠시만 기다려주세요,잠시,뜨거운차가운물요구
qa,"저긴 찬물인데, 따뜻한 물 좀 주세요","찬,물,따뜻한",잔 가져오시면 해드리겠습니다,잔,뜨거운차가운물요구
qa,뜨거운 물 좀 주세요,"뜨거운,물","네, 뜨거운 물 준비해 드리겠습니다","뜨거운, 물, 준비",뜨거운차가운물요구
qa,따뜻한 물 한 잔도 주실래요?,"따뜻,물,한잔",네 드릴게요,,뜨거운차가운물요구
qa,얼음 물은 어디서 마시면 돼요?,"얼음,물",얼음 물은 좌측에서 드시면 됩니다,"얼음, 물, 좌측",뜨거운차가운물요구
qa,따뜻한 물 한 잔 주실래요?,"따뜻,물,한 잔",네 따뜻한 물 한 잔 드리겠습니다,"따뜻, 물, 한 잔",뜨거운차가운물요구
qa,빨대랑 따뜻한 물 한 잔만 주세요,"빨대,따뜻,물,한 잔",네 빨대랑 따뜻한 물 드리겠습니다,"빨대, 따뜻, 물",뜨거운차가운물요구
qa,물은 어디서 마시면 돼요?,물,물은 좌측 정수기에서 드시면 됩니다,"물, 좌측, 정수기",뜨거운차가운물요구
qa,따뜻한 물 한 잔 주실 수 있어요?,"따뜻,물,한 잔",네 따뜻한 물 한 잔 드리겠습니다,"따뜻, 물, 한 잔",뜨거운차가운물요구
qa,따뜻한 물 좀 주세요,"따뜻,물",네 따뜻한 물 드릴게요,"따뜻, 물",뜨거운차가운물요구
qa,죄송한데 물 한 컵만 주세요,"물,한 컵",물은 뒤에 있어요,"물, 뒤",뜨거운차가운물요구
qa,음료 뜨겁지 않게 찬물 조금만 넣어주세요,"음료,뜨겁지,찬,물",네 찬물 넣어드리겠습니다,"찬, 물",뜨거운차가운물요구
qa,아메리카노에 찬물 넣으셨어요?,"아메리카노,찬,물",네 아메리카노에 찬물 조금 넣어드렸습니다,"아메리카노, 찬, 물",뜨거운차가운물요구
qa,빨대 주시고 물 한 컵 떠갈 수 있나요?,"빨대,물,한 컵",빨대와 물은 옆쪽에 보시면 준비되어 있습니다,"빨대, 물, 옆, 준비",뜨거운차가운물요구
qa,사장님 여기 찬물 조금만 떠주세요,"사장님,찬물",네 찬물 갖다 드릴게요,찬물,뜨거운차가운물요구
qa,오실 때 얼음 넣은 물 한 컵 부탁드려요,"얼음,물,한 컵",알겠습니다,,뜨거운차가운물요구
qa,따뜻한 물 한잔 주세요,"따뜻한,물,한잔",잠시만 기다려 주세요,,뜨거운차가운물요구
qa,물이 다 떨어졌는데요?,물,다시 채워드리겠습니다,,뜨거운차가운물요구
qa,혹시 찬물이 따로 있나요?,찬물,저쪽 벽에 있습니다,저쪽,뜨거운차가운물요구
qa,그리고 미지근한 물도 1잔만 부탁드려요,"미지근한,물,1잔,부탁",같이 준비해드리겠습니다,준비,뜨거운차가운물요구
q,스파클링 에이드 많이 달아요?,"스파클링에이드,달아",,,메뉴문의
q,그러면 플레인 요구르트 하나 주시는데 많이 안 달죠?,"플레인 요거트,하나",,,메뉴문의
q,커피음료 말고는 어떤 거 있어요?,커피음료,,,메뉴문의
q,오늘의 커피는 뭐예요?,오늘의 커피,,,메뉴문의
q,녹차라테 있나요?,녹차라테,,,메뉴문의
q,혹시 커피 안 들어간 메뉴 있나요?,"커피,메뉴",,,메뉴문의
q,저기 있는 아이스크림은 뭐지요?,아이스크림,,,메뉴문의
q,원두 선택할 수 있나요?,"원두,선택",,,메뉴문의
q,아이스 아메리카노 샷 추가 가능한가요?,"아이스,아메리카노,샷,추가",,,메뉴문의
q,레몬티도 파나요?,레몬티,,,메뉴문의
q,네 카페라테 디카페인 되나요?,"카페라테,디카페인",,,메뉴문의
qa,하우스 블렌딩은 뭐예요?,하우스 블렌딩,하우스 블렌딩은 진하고 무거운 맛이에요,하우스 블렌딩,메뉴문의
qa,주스에 망고하고 뭐가 들어가요?,"주스,망고",주스에는 오렌지랑 자몽이 들어가요,"주스,오렌지,자몽",메뉴문의
qa,와인에이드가 뭐예요?,와인에이드,과일을 와인에 절여서 탄산수랑 함께 만드는 음료에요,"과일,와인,탄산수,음료",메뉴문의
qa,수제차는 직접 만드신 거예요?,수제차,"네, 수제차는 직접 만들어요",수제차,메뉴문의
qa,반반 주스 맛있어요?,반반주스,"네, 건강에도 좋고 달지도 않아요",건강,메뉴문의
qa,녹차라테는 많이 달아요?,녹차라떼,달게도 가능하고 덜 달게도 가능해요,,메뉴문의
qa,생강차는 설탕이 많이 들어가나요?,"생강차,설탕",예 유자차처럼 그런 거예요,유자차,메뉴문의
qa,커피 말고 차 종류는 뭐가 있나요?,"커피,차",허브 차나 국화차가 많이 나가요,"허브 차,국화차",메뉴문의
